"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2620,147.5,60,12144,"Inside","1.5Fin",4,6,1950,1950,"TA","TA","CBlock","TA","TA","Rec",455,455,910,"GasA","Gd","Y",910,611,1521,0,0,1,1,3,"Gd",6,0,"Detchd",1,597,"Fa","TA",199,0,168,0
2309,252,0,39384,"CulDSac","1Story",6,6,1957,1957,"TA","TA","CBlock","Gd","TA","ALQ",1110,595,1705,"GasA","Ex","Y",1390,0,1390,1,0,1,1,1,"Ex",4,2,"Attchd",2,550,"TA","TA",0,189,0,0
242,308.03,44,17485,"Inside","1Story",7,5,2009,2010,"Gd","TA","PConc","Gd","TA","GLQ",1346,162,1508,"GasA","Ex","Y",1508,0,1508,1,0,1,0,1,"Gd",5,2,"Attchd",2,572,"TA","TA",0,0,0,0
2462,405.749,100,13162,"Corner","2Story",9,5,2006,2006,"Gd","TA","PConc","Ex","TA","GLQ",1836,200,2036,"GasA","Ex","Y",2036,604,2640,1,0,3,1,3,"Ex",11,1,"Attchd",3,792,"TA","TA",0,265,0,0
2801,274.3,75,9750,"Corner","2Story",7,6,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",975,133,1108,"GasA","Ex","Y",1108,989,2097,1,0,2,1,3,"Gd",8,1,"Detchd",2,583,"TA","TA",253,170,0,0
1716,194.7,61,7577,"Corner","1Story",6,5,2005,2006,"Gd","TA","PConc","Gd","TA","ALQ",20,1342,1362,"GasA","Ex","Y",1362,0,1362,0,0,2,0,2,"Gd",6,1,"Attchd",2,460,"TA","TA",192,28,0,0
261,161.75,0,10900,"FR2","2Story",6,7,1977,1977,"TA","TA","CBlock","Gd","TA","GLQ",378,311,689,"GasA","Ex","Y",689,703,1392,0,0,1,1,3,"TA",6,0,"Attchd",1,299,"TA","TA",0,36,0,0
1454,230,75,9742,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1777,1777,"GasA","Ex","Y",1795,0,1795,0,0,2,0,3,"Gd",7,1,"Attchd",2,534,"TA","TA",171,159,0,0
531,185,62,7500,"Inside","1Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",410,811,1221,"GasA","Ex","Y",1221,0,1221,1,0,2,0,2,"Gd",6,0,"Attchd",2,400,"TA","TA",0,113,0,0
1897,181.9,0,14585,"CulDSac","1Story",6,6,1960,1987,"TA","TA","CBlock","TA","TA","BLQ",594,331,1144,"GasA","Ex","Y",1429,0,1429,0,1,1,0,3,"Gd",7,2,"Attchd",2,572,"TA","TA",216,110,0,0
